ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
40 - Ashoka Pillar,Central,Chickpet,2020,0.38901073950148257,-0.05217629065858145,35.321921974990865
19 - K.S. Nissar Ahmed Ward,East,K.R. Pura,2020,0.16966933184499508,0.06896813216071963,39.3825096521645
31 - Kadugodi,East,Mahadevapura,2020,0.32639017324461284,0.016511206690884427,33.816071839429554
49 - Uttarahalli,South,Bangalore South,2020,0.2578205836054029,0.03164468177377408,36.67257956243544
90 - Krishnadevaraya ward,West,Vijayanagar,2020,0.18094959556295093,0.03816131432630421,39.003319777670775
15 - Byatarayanapura,North,Byatarayanapura,2020,0.26272882412942555,0.048891395497920334,38.320592154857266
65 - Garvebavi Palya,South,Bommanahalli,2020,0.13134076646895607,0.08599380751392349,38.6860108093009
13 - Nada prabhu Kempegowda Nagara,West,Yeshwanthapura,2020,0.23219517992150526,0.06778661325091703,39.665105842871895
31 - Kasavanahalli,South,Mahadevapura,2020,0.2558692577486164,0.06843117981382714,34.4853434479509
41 - Munnenkolalu,East,Mahadevapura,2020,0.1599880046545744,0.08172512585702614,35.05856535972359
37 - BHEL Ward,Central,Chickpet,2020,0.3496369680546323,-0.01684084018418939,35.99774636555996
52 - Kodandarampura,West,Malleshwaram,2020,0.25209226255540823,0.011737166276807025,37.830881078438665
71 - Agara,South,Bommanahalli,2020,0.22433375933661098,0.01935857287376389,35.88620685017572
40 - Varthur,East,Mahadevapura,2020,0.3385330772657718,0.022522511378204012,32.08767736090113
47 - Chandranagara,South,Bangalore South,2020,0.1652515833457938,0.05762103713123484,37.68438190524462
10 - Sunkadakatte,West,Dasarahalli,2020,0.16576522142777467,0.07885253396982181,40.89331504045143
31 - Kalyanagar,North,Sarvagnanagar,2020,0.2440255025234994,0.025768145969700947,38.1363877801423
46 - Yelachenahalli,South,Bangalore South,2020,0.1815603581300678,0.06808709106007735,38.34090164760158
37 - Yelenahalli,South,Bangalore South,2020,0.2751284651948515,0.06159950832210473,35.631638905660324
51 - Rajamahal,West,Malleshwaram,2020,0.36298207124654613,-0.01440939940492309,37.18264365587282
14 - Rajiv Gandhi Nagar,North,Byatarayanapura,2020,0.29882099765802,-0.022010332105729075,35.61308491862092
2 - Chokkasandra,West,Dasarahalli,2020,0.21743549664980363,0.05199826740638598,39.11045179795187
